Description,Length,Width,Quantity,Material Type,Material
Back,54 1/4,30,1,Sheet Goods,"1/4"" Birch Plywood"
Topper Bottom,17 7/8,29,1,Sheet Goods,"1/4"" Birch Plywood"
Side Panel,15 3/4,24,2,Sheet Goods,"3/4"" Cherry Plywood"
Drawer Bottom,14 1/2,27 1/3,3,Sheet Goods,"1/2"" Birch Plywood"
,,,,,
Legs,34 1/2,1 3/4,4,Lumber,8/4 Cherry
,,,,,
Side Rails,15 3/4,3 1/2,4,Lumber,6/4 Cherry
Top ,33 3/4,7 1/4,4,Lumber,6/4 Cherry
,,,,,
Drawer Spacer,15 3/4,3 1/2,8,Lumber,4/4 Maple
Drawer Support Stiles,11 1/4,4,8,Lumber,4/4 Maple
Drawer Support Back Rails,29,4,4,Lumber,4/4 Maple
Drawer Support Front Rails,29,4,4,Lumber,4/4 Cherry
,,,,,
Topper Rails,29 3/4,3,2,Lumber,4/4 Cherry
Topper Stiles,17 1/2,3,3,Lumber,4/4 Cherry
,,,,,
Drawer Fronts,29,8 3/4,3,Lumber,4/4 Cherry
Drawer Box Sides,15,6 3/4,6,Lumber,4/4 Maple
Drawer Box Fronts,27,6 3/4,6,Lumber,4/4 Maple
